【埋堆堆】,#genre#
(小木子先生丶)纪晓岚-岚宝珅宝的爱恨情仇,http://101.42.235.108:9527/zby/33.php?id=11342396
(鯎爺)滚滚长江东逝水,http://101.42.235.108:9527/zby/33.php?id=11352944
(武林萌主唐小姐)大家好 我曾小咸又回来啦,http://101.42.235.108:9527/zby/33.php?id=11336726
(瞬间爆炸)身世神秘的范闲书写人生传奇,http://101.42.235.108:9527/zby/33.php?id=11352960
(痞子帅叔叔)【超级交通站】抗ri情景喜剧,http://101.42.235.108:9527/zby/33.php?id=11342433
(傻妞)【邻li一家亲】满院白眼狼,http://101.42.235.108:9527/zby/33.php?id=11342426
(我爱黑科技)我是谢飞机 别扒拉我,http://101.42.235.108:9527/zby/33.php?id=11602068
(Wang-我的女人)康熙大帝的传奇一生,http://101.42.235.108:9527/zby/33.php?id=11352940
(-懒猪)少年包青天美黑之旅,http://101.42.235.108:9527/zby/33.php?id=11342393
(老王夸我帅)神貂侠侣·小笼包版姑姑上线,http://101.42.235.108:9527/zby/33.php?id=11352964
(鱼塘塘主张年年)新水hu·在下正是西公子！,http://101.42.235.108:9527/zby/33.php?id=11342384
封神榜-陈浩民版,http://101.42.235.108:9527/zby/888.php?id=23749096
西游记,http://101.42.235.108:9527/zby/888.php?id=23735126
张卫健版西游记,http://101.42.235.108:9527/zby/888.php?id=23728660
楚汉骄雄,http://101.42.235.108:9527/zby/888.php?id=23740156
法证先锋,http://101.42.235.108:9527/zby/888.php?id=23829543
状王宋世杰-第二部,http://101.42.235.108:9527/zby/888.php?id=23734183
殭尸道长2,http://101.42.235.108:9527/zby/888.php?id=23865164
爱·回家,http://101.42.235.108:9527/zby/888.php?id=23863818
情事缉私档案,http://101.42.235.108:9527/zby/888.php?id=23865179
荃加福禄寿探案,http://101.42.235.108:9527/zby/888.php?id=23749074
食为奴,http://101.42.235.108:9527/zby/888.php?id=23865058
秀才遇到兵,http://101.42.235.108:9527/zby/888.php?id=23746486
水浒无间道,http://101.42.235.108:9527/zby/888.php?id=23863778
律政新人王,http://101.42.235.108:9527/zby/888.php?id=23863787
雪山飞狐黄日华版,http://101.42.235.108:9527/zby/888.php?id=23734176
降魔的-高能 都市司机化身降魔大师,http://101.42.235.108:9527/zby/888.php?id=23734211
洪武三十二·陈键锋竟然在澡堂对马德钟......,http://101.42.235.108:9527/zby/888.php?id=23749083
天地争霸美猴王粤语版,http://101.42.235.108:9527/zby/888.php?id=23734246
铁嘴银牙-陈小春爆笑公堂,http://101.42.235.108:9527/zby/888.php?id=23734243
难兄难弟-吴镇宇罗嘉良的兄弟情,http://101.42.235.108:9527/zby/888.php?id=23829447
【斗气一族】青涩周星星的无法遮挡的演技,http://101.42.235.108:9527/zby/888.php?id=23903123
鬼同你，看完你就懂了,http://101.42.235.108:9527/zby/888.php?id=23865161
【倚天屠龙记】梁朝伟版,http://101.42.235.108:9527/zby/888.php?id=23735181
黄jin有罪-悬疑爱好聚集地,http://101.42.235.108:9527/zby/888.php?id=23903130
EU超时任务·又是一部因为王浩信演技要加一星的剧,http://101.42.235.108:9527/zby/888.php?id=23728674
超级奖门人,http://101.42.235.108:9527/zby/888.php?id=23860039
宠物情缘-古天乐与郑秀文因宠物结缘,http://101.42.235.108:9527/zby/888.php?id=23903183
今生无悔 ？ 她爱他，他爱她，她爱他，他爱她,http://101.42.235.108:9527/zby/888.php?id=23734256
七公主驾到！,http://101.42.235.108:9527/zby/888.php?id=23860049
奸人语录！损人必利己，打赢靠暗器！,http://101.42.235.108:9527/zby/888.php?id=23863804
楚留香-TVB经典,http://101.42.235.108:9527/zby/888.php?id=23734169
阿爷厨房第2季,http://101.42.235.108:9527/zby/888.php?id=23864973
马永贞之英雄血·英雄英雄,http://101.42.235.108:9527/zby/888.php?id=23865171
新上海滩-民国上海的爱恨情仇,http://101.42.235.108:9527/zby/888.php?id=23865142

【电视剧】,#genre#
(领带哥)许三多军营成长史,http://101.42.235.108:9527/zby/33.php?id=11342430
(种瓜得弟弟)夏雪夏雨夏冰雹,http://101.42.235.108:9527/zby/33.php?id=11352872
(我是詹密)雍正皇帝的风云一生,http://101.42.235.108:9527/zby/33.php?id=11342439
(萌新司机)大秦，终章！,http://101.42.235.108:9527/zby/33.php?id=11352881
(柯冉冉)龙men·老奸巨猾年掌柜,http://101.42.235.108:9527/zby/33.php?id=11352874
(全优少年)【经典】桃园结义三兄弟,http://101.42.235.108:9527/zby/33.php?id=11602081
(心疼得抱住胖胖的自己)神tan狄仁杰·破案还得是他,http://101.42.235.108:9527/zby/33.php?id=11342425
(yao不能停)在外三藏獒，在家三二哈,http://101.42.235.108:9527/zby/33.php?id=11601980
(No1常在心)搞笑的一家人,http://101.42.235.108:9527/zby/33.php?id=11342402
(會唱歌的小野貓)胡八一胖子沙漠古城找鬼洞,http://101.42.235.108:9527/zby/33.php?id=11352871
(四次元先生)相识、相知、相爱、相守的父母爱情,http://101.42.235.108:9527/zby/33.php?id=11602071
(呆萌小岳岳)一代枭雄为报父仇励精图治,http://101.42.235.108:9527/zby/33.php?id=11342398
(母胎solo二百年)韦小宝泡妞秘籍·山鸡哥,http://101.42.235.108:9527/zby/33.php?id=11601982
(荒野达人)芈月和她的三个爱人,http://101.42.235.108:9527/zby/33.php?id=11352975
(裸奔的蜗牛╮)康熙·民间私访,http://101.42.235.108:9527/zby/33.php?id=11342418
(茱麗葉)葛二蛋成长之路,http://101.42.235.108:9527/zby/33.php?id=11602072
(西红柿)【欢le颂】22楼姐妹花,http://101.42.235.108:9527/zby/33.php?id=11601979
